Datum,Provincienaam,Aantal
2020-05-03,Zuid-Holland,8416
2020-05-03,Noord-Brabant,8404
2020-05-03,Overijssel,2771
2020-05-03,Utrecht,2896
2020-05-03,Groningen,341
2020-05-03,Zeeland,588
2020-05-03,Drenthe,482
2020-05-03,Flevoland,751
2020-05-03,Limburg,4212
2020-05-03,Friesland,534
2020-05-03,Noord-Holland,5919
2020-05-03,Gelderland,5257
2020-05-04,Friesland,536
2020-05-04,Groningen,342
2020-05-04,Overijssel,2783
2020-05-04,Zuid-Holland,8447
2020-05-04,Utrecht,2912
2020-05-04,Noord-Brabant,8435
2020-05-04,Drenthe,486
2020-05-04,Zeeland,593
2020-05-04,Flevoland,756
2020-05-04,Limburg,4256
2020-05-04,Gelderland,5282
2020-05-04,Noord-Holland,5942
2020-05-05,Drenthe,489
2020-05-05,Friesland,535
2020-05-05,Flevoland,771
2020-05-05,Gelderland,5311
2020-05-05,Zeeland,595
2020-05-05,Groningen,345
2020-05-05,Utrecht,2964
2020-05-05,Limburg,4270
2020-05-05,Overijssel,2800
2020-05-05,Noord-Brabant,8468
2020-05-05,Noord-Holland,6012
2020-05-05,Zuid-Holland,8527
2020-05-06,Limburg,4290
2020-05-06,Noord-Holland,6070
2020-05-06,Zuid-Holland,8581
2020-05-06,Noord-Brabant,8485
2020-05-06,Zeeland,607
2020-05-06,Friesland,540
2020-05-06,Flevoland,788
2020-05-06,Groningen,346
2020-05-06,Utrecht,2967
2020-05-06,Gelderland,5345
2020-05-06,Drenthe,491
2020-05-06,Overijssel,2809
2020-05-07,Zeeland,615
2020-05-07,Limburg,4314
2020-05-07,Flevoland,793
2020-05-07,Noord-Brabant,8537
2020-05-07,Gelderland,5370
2020-05-07,Noord-Holland,6120
2020-05-07,Groningen,347
2020-05-07,Overijssel,2827
2020-05-07,Friesland,543
2020-05-07,Zuid-Holland,8678
2020-05-07,Drenthe,491
2020-05-07,Utrecht,3139
2020-05-08,Groningen,347
2020-05-08,Zuid-Holland,8760
2020-05-08,Drenthe,492
2020-05-08,Utrecht,3161
2020-05-08,Zeeland,620
2020-05-08,Noord-Holland,6162
2020-05-08,Gelderland,5408
2020-05-08,Noord-Brabant,8573
2020-05-08,Limburg,4358
2020-05-08,Overijssel,2847
2020-05-08,Flevoland,803
2020-05-08,Friesland,562
2020-05-09,Zeeland,621
2020-05-09,Friesland,566
2020-05-09,Zuid-Holland,8842
2020-05-09,Limburg,4381
2020-05-09,Utrecht,3189
2020-05-09,Noord-Holland,6210
2020-05-09,Drenthe,493
2020-05-09,Noord-Brabant,8628
2020-05-09,Gelderland,5424
2020-05-09,Flevoland,818
2020-05-09,Groningen,347
2020-05-09,Overijssel,2863
2020-05-10,Limburg,4408
2020-05-10,Zeeland,622
2020-05-10,Noord-Brabant,8659
2020-05-10,Flevoland,833
2020-05-10,Zuid-Holland,8911
2020-05-10,Utrecht,3212
2020-05-10,Gelderland,5449
2020-05-10,Groningen,348
2020-05-10,Noord-Holland,6250
2020-05-10,Friesland,571
2020-05-10,Drenthe,494
2020-05-10,Overijssel,2870
2020-05-11,Limburg,4426
2020-05-11,Noord-Holland,6286
2020-05-11,Utrecht,3224
2020-05-11,Friesland,577
2020-05-11,Zeeland,624
2020-05-11,Noord-Brabant,8678
2020-05-11,Overijssel,2864
2020-05-11,Gelderland,5472
2020-05-11,Flevoland,834
2020-05-11,Zuid-Holland,8957
2020-05-11,Groningen,351
2020-05-11,Drenthe,495
2020-05-12,Overijssel,2876
2020-05-12,Noord-Brabant,8718
2020-05-12,Noord-Holland,6311
2020-05-12,Limburg,4434
2020-05-12,Utrecht,3234
2020-05-12,Zeeland,625
2020-05-12,Gelderland,5497
2020-05-12,Drenthe,496
2020-05-12,Friesland,583
2020-05-12,Zuid-Holland,9017
2020-05-12,Groningen,351
2020-05-12,Flevoland,842
2020-05-13,Zuid-Holland,9114
2020-05-13,Utrecht,3254
2020-05-13,Zeeland,626
2020-05-13,Noord-Holland,6343
2020-05-13,Overijssel,2889
2020-05-13,Noord-Brabant,8736
2020-05-13,Friesland,585
2020-05-13,Groningen,351
2020-05-13,Flevoland,845
2020-05-13,Drenthe,497
2020-05-13,Gelderland,5516
2020-05-13,Limburg,4455
2020-05-14,Utrecht,3274
2020-05-14,Zuid-Holland,9200
2020-05-14,Zeeland,628
2020-05-14,Noord-Brabant,8784
2020-05-14,Noord-Holland,6397
2020-05-14,Limburg,4474
2020-05-14,Overijssel,2901
2020-05-14,Gelderland,5540
2020-05-14,Flevoland,847
2020-05-14,Drenthe,497
2020-05-14,Friesland,587
2020-05-14,Groningen,352
2020-05-15,Overijssel,2906
2020-05-15,Drenthe,498
2020-05-15,Groningen,352
2020-05-15,Zeeland,632
2020-05-15,Zuid-Holland,9256
2020-05-15,Flevoland,853
2020-05-15,Friesland,589
2020-05-15,Utrecht,3288
2020-05-15,Noord-Holland,6436
2020-05-15,Noord-Brabant,8806
2020-05-15,Gelderland,5555
2020-05-15,Limburg,4510
2020-05-16,Drenthe,498
2020-05-16,Limburg,4526
2020-05-16,Zuid-Holland,9310
2020-05-16,Friesland,591
2020-05-16,Gelderland,5571
2020-05-16,Groningen,352
2020-05-16,Flevoland,857
2020-05-16,Overijssel,2917
2020-05-16,Zeeland,632
2020-05-16,Utrecht,3314
2020-05-16,Noord-Brabant,8839
2020-05-16,Noord-Holland,6463
2020-05-17,Gelderland,5597
2020-05-17,Zuid-Holland,9349
2020-05-17,Flevoland,863
2020-05-17,Groningen,352
2020-05-17,Limburg,4534
2020-05-17,Noord-Brabant,8849
2020-05-17,Zeeland,633
2020-05-17,Overijssel,2921
2020-05-17,Utrecht,3330
2020-05-17,Noord-Holland,6477
2020-05-17,Friesland,592
2020-05-17,Drenthe,498
2020-05-18,Zeeland,636
2020-05-18,Noord-Brabant,8868
2020-05-18,Zuid-Holland,9413
2020-05-18,Noord-Holland,6491
2020-05-18,Limburg,4545
2020-05-18,Utrecht,3347
2020-05-18,Flevoland,865
2020-05-18,Drenthe,499
2020-05-18,Gelderland,5609
2020-05-18,Groningen,352
2020-05-18,Friesland,594
2020-05-18,Overijssel,2922
2020-05-19,Limburg,4548
2020-05-19,Gelderland,5625
2020-05-19,Zeeland,637
2020-05-19,Zuid-Holland,9448
2020-05-19,Friesland,594
2020-05-19,Noord-Holland,6508
2020-05-19,Utrecht,3357
2020-05-19,Groningen,352
2020-05-19,Drenthe,499
2020-05-19,Overijssel,2928
2020-05-19,Flevoland,866
2020-05-19,Noord-Brabant,8887
2020-05-20,Limburg,4562
2020-05-20,Overijssel,2933
2020-05-20,Groningen,345
2020-05-20,Gelderland,5651
2020-05-20,Friesland,602
2020-05-20,Noord-Holland,6519
2020-05-20,Zuid-Holland,9526
2020-05-20,Zeeland,647
2020-05-20,Noord-Brabant,8879
2020-05-20,Drenthe,503
2020-05-20,Utrecht,3391
2020-05-20,Flevoland,889
2020-05-21,Utrecht,3416
2020-05-21,Noord-Holland,6551
2020-05-21,Limburg,4579
2020-05-21,Zeeland,655
2020-05-21,Noord-Brabant,8900
2020-05-21,Zuid-Holland,9618
2020-05-21,Friesland,604
2020-05-21,Flevoland,894
2020-05-21,Groningen,347
2020-05-21,Gelderland,5692
2020-05-21,Overijssel,2941
2020-05-21,Drenthe,503
2020-05-22,Limburg,4597
2020-05-22,Noord-Holland,6586
2020-05-22,Noord-Brabant,8916
2020-05-22,Utrecht,3439
2020-05-22,Zeeland,657
2020-05-22,Zuid-Holland,9667
2020-05-22,Groningen,347
2020-05-22,Drenthe,505
2020-05-22,Overijssel,2948
2020-05-22,Flevoland,898
2020-05-22,Friesland,606
2020-05-22,Gelderland,5722
2020-05-23,Noord-Holland,6608
2020-05-23,Utrecht,3458
2020-05-23,Noord-Brabant,8949
2020-05-23,Zeeland,661
2020-05-23,Limburg,4627
2020-05-23,Overijssel,2957
2020-05-23,Gelderland,5741
2020-05-23,Groningen,347
2020-05-23,Zuid-Holland,9704
2020-05-23,Flevoland,898
2020-05-23,Friesland,606
2020-05-23,Drenthe,508
2020-05-24,Noord-Holland,6620
2020-05-24,Groningen,347
2020-05-24,Friesland,607
2020-05-24,Flevoland,900
2020-05-24,Utrecht,3477
2020-05-24,Zuid-Holland,9749
2020-05-24,Drenthe,508
2020-05-24,Zeeland,665
2020-05-24,Noord-Brabant,8972
2020-05-24,Overijssel,2964
2020-05-24,Gelderland,5793
2020-05-24,Limburg,4634
2020-05-25,Noord-Brabant,8992
2020-05-25,Limburg,4651
2020-05-25,Zeeland,671
2020-05-25,Zuid-Holland,9799
2020-05-25,Utrecht,3500
2020-05-25,Noord-Holland,6630
2020-05-25,Drenthe,509
2020-05-25,Groningen,347
2020-05-25,Gelderland,5869
2020-05-25,Flevoland,901
2020-05-25,Overijssel,2969
2020-05-25,Friesland,607
2020-05-26,Noord-Holland,6637
2020-05-26,Zuid-Holland,9830
2020-05-26,Limburg,4658
2020-05-26,Utrecht,3509
2020-05-26,Gelderland,5910
2020-05-26,Noord-Brabant,9017
2020-05-26,Zeeland,672
2020-05-26,Friesland,607
2020-05-26,Groningen,347
2020-05-26,Drenthe,509
2020-05-26,Overijssel,2975
2020-05-26,Flevoland,907
2020-05-27,Groningen,347
2020-05-27,Drenthe,509
2020-05-27,Utrecht,3531
2020-05-27,Overijssel,2981
2020-05-27,Flevoland,912
2020-05-27,Gelderland,5944
2020-05-27,Noord-Brabant,9038
2020-05-27,Zuid-Holland,9895
2020-05-27,Zeeland,675
2020-05-27,Noord-Holland,6665
2020-05-27,Friesland,608
2020-05-27,Limburg,4663
2020-05-28,Drenthe,509
2020-05-28,Gelderland,5982
2020-05-28,Noord-Brabant,9083
2020-05-28,Utrecht,3553
2020-05-28,Friesland,608
2020-05-28,Groningen,348
2020-05-28,Zuid-Holland,9934
2020-05-28,Limburg,4677
2020-05-28,Noord-Holland,6676
2020-05-28,Overijssel,2986
2020-05-28,Zeeland,678
2020-05-28,Flevoland,916
2020-05-29,Zuid-Holland,9976
2020-05-29,Limburg,4688
2020-05-29,Zeeland,690
2020-05-29,Groningen,348
2020-05-29,Noord-Brabant,9106
2020-05-29,Utrecht,3575
2020-05-29,Gelderland,6027
2020-05-29,Drenthe,509
2020-05-29,Flevoland,919
2020-05-29,Overijssel,2988
2020-05-29,Friesland,610
2020-05-29,Noord-Holland,6690
2020-05-30,Noord-Brabant,9130
2020-05-30,Noord-Holland,6711
2020-05-30,Limburg,4694
2020-05-30,Zuid-Holland,10004
2020-05-30,Utrecht,3588
2020-05-30,Zeeland,691
2020-05-30,Groningen,349
2020-05-30,Drenthe,509
2020-05-30,Flevoland,921
2020-05-30,Gelderland,6058
2020-05-30,Friesland,611
2020-05-30,Overijssel,2991
2020-05-31,Friesland,611
2020-05-31,Noord-Holland,6734
2020-05-31,Groningen,350
2020-05-31,Limburg,4703
2020-05-31,Overijssel,2995
2020-05-31,Gelderland,6085
2020-05-31,Zuid-Holland,10035
2020-05-31,Noord-Brabant,9167
2020-05-31,Drenthe,513
2020-05-31,Utrecht,3626
2020-05-31,Zeeland,696
2020-05-31,Flevoland,927
2020-06-01,Noord-Brabant,9173
2020-06-01,Zuid-Holland,10070
2020-06-01,Limburg,4712
2020-06-01,Noord-Holland,6743
2020-06-01,Utrecht,3642
2020-06-01,Noord-Brabant,9173
2020-06-01,Limburg,4712
2020-06-01,Zeeland,697
2020-06-02,Gelderland,6125
2020-06-02,Overijssel,2996
2020-06-02,Drenthe,515
2020-06-02,Groningen,350
2020-06-02,Flevoland,929
2020-06-02,Friesland,611
2020-06-02,Noord-Brabant,9194
2020-06-02,Utrecht,3665
2020-06-02,Limburg,4719
2020-06-02,Zeeland,701
2020-06-02,Noord-Holland,6748
2020-06-02,Zuid-Holland,10094
2020-06-03,Limburg,4728
2020-06-03,Zeeland,703
2020-06-03,Gelderland,6134
2020-06-03,Zuid-Holland,10120
2020-06-03,Utrecht,3677
2020-06-03,Noord-Holland,6756
2020-06-03,Friesland,611
2020-06-03,Overijssel,2996
2020-06-03,Groningen,350
2020-06-03,Drenthe,515
2020-06-03,Noord-Brabant,9212
2020-06-03,Flevoland,931
2020-06-04,Noord-Holland,6767
2020-06-04,Gelderland,6155
2020-06-04,Friesland,614
2020-06-04,Limburg,4735
2020-06-04,Noord-Brabant,9261
2020-06-04,Overijssel,3001
2020-06-04,Groningen,351
2020-06-04,Flevoland,939
2020-06-04,Drenthe,517
2020-06-04,Zuid-Holland,10186
2020-06-04,Utrecht,3707
2020-06-04,Zeeland,709
2020-06-05,Overijssel,3005
2020-06-05,Noord-Brabant,9304
2020-06-05,Friesland,615
2020-06-05,Drenthe,520
2020-06-05,Limburg,4753
2020-06-05,Groningen,351
2020-06-05,Noord-Holland,6778
2020-06-05,Utrecht,3734
2020-06-05,Zuid-Holland,10247
2020-06-05,Flevoland,942
2020-06-05,Gelderland,6191
2020-06-05,Zeeland,712
2020-06-06,Utrecht,3753
2020-06-06,Zuid-Holland,10317
2020-06-06,Overijssel,3012
2020-06-06,Zeeland,713
2020-06-06,Noord-Brabant,9333
2020-06-06,Gelderland,6217
2020-06-06,Friesland,615
2020-06-06,Flevoland,946
2020-06-06,Limburg,4768
2020-06-06,Noord-Holland,6787
2020-06-06,Groningen,353
2020-06-06,Drenthe,521
2020-06-07,Gelderland,6246
2020-06-07,Noord-Brabant,9353
2020-06-07,Zeeland,715
2020-06-07,Flevoland,948
2020-06-07,Friesland,616
2020-06-07,Limburg,4782
2020-06-07,Drenthe,525
2020-06-07,Utrecht,3775
2020-06-07,Noord-Holland,6870
2020-06-07,Overijssel,3016
2020-06-07,Groningen,353
2020-06-07,Zuid-Holland,10375
2020-06-08,Flevoland,948
2020-06-08,Noord-Brabant,9390
2020-06-08,Friesland,616
2020-06-08,Groningen,353
2020-06-08,Gelderland,6283
2020-06-08,Utrecht,3787
2020-06-08,Zeeland,715
2020-06-08,Limburg,4791
2020-06-08,Noord-Holland,6898
2020-06-08,Zuid-Holland,10413
2020-06-08,Drenthe,525
2020-06-08,Overijssel,3020
2020-06-09,Noord-Brabant,9412
2020-06-09,Gelderland,6303
2020-06-09,Drenthe,525
2020-06-09,Noord-Holland,6912
2020-06-09,Overijssel,3024
2020-06-09,Utrecht,3802
2020-06-09,Flevoland,949
2020-06-09,Zuid-Holland,10489
2020-06-09,Zeeland,715
2020-06-09,Limburg,4801
2020-06-09,Friesland,618
2020-06-09,Groningen,353
2020-06-10,Utrecht,3825
2020-06-10,Zuid-Holland,10539
2020-06-10,Groningen,353
2020-06-10,Zeeland,720
2020-06-10,Noord-Holland,6945
2020-06-10,Overijssel,3028
2020-06-10,Gelderland,6334
2020-06-10,Flevoland,952
2020-06-10,Drenthe,526
2020-06-10,Noord-Brabant,9439
2020-06-10,Limburg,4807
2020-06-10,Friesland,619
2020-06-11,Friesland,621
2020-06-11,Noord-Brabant,9467
2020-06-11,Flevoland,953
2020-06-11,Drenthe,528
2020-06-11,Limburg,4815
2020-06-11,Groningen,354
2020-06-11,Utrecht,3840
2020-06-11,Overijssel,3030
2020-06-11,Gelderland,6353
2020-06-11,Zeeland,721
2020-06-11,Noord-Holland,6974
2020-06-11,Zuid-Holland,10595
2020-06-12,Overijssel,3031
2020-06-12,Gelderland,6384
2020-06-12,Noord-Holland,6989
2020-06-12,Utrecht,3861
2020-06-12,Zuid-Holland,10679
2020-06-12,Zeeland,722
2020-06-12,Limburg,4823
2020-06-12,Drenthe,527
2020-06-12,Groningen,355
2020-06-12,Flevoland,956
2020-06-12,Noord-Brabant,9509
2020-06-12,Friesland,625
2020-06-13,Noord-Brabant,9551
2020-06-13,Drenthe,527
2020-06-13,Limburg,4835
2020-06-13,Groningen,355
2020-06-13,Friesland,629
2020-06-13,Flevoland,957
2020-06-13,Noord-Holland,7020
2020-06-13,Utrecht,3871
2020-06-13,Zuid-Holland,10734
2020-06-13,Overijssel,3031
2020-06-13,Gelderland,6405
2020-06-13,Zeeland,725
2020-06-14,Gelderland,6423
2020-06-14,Utrecht,3883
2020-06-14,Overijssel,3040
2020-06-14,Zuid-Holland,10775
2020-06-14,Zeeland,726
2020-06-14,Noord-Holland,7042
2020-06-14,Groningen,357
2020-06-14,Drenthe,530
2020-06-14,Friesland,629
2020-06-14,Limburg,4844
2020-06-14,Noord-Brabant,9575
2020-06-14,Flevoland,959
2020-06-15,Groningen,357
2020-06-15,Drenthe,531
2020-06-15,Limburg,4847
2020-06-15,Flevoland,966
2020-06-15,Friesland,630
2020-06-15,Noord-Brabant,9586
2020-06-15,Overijssel,3052
2020-06-15,Utrecht,3901
2020-06-15,Noord-Holland,7067
2020-06-15,Zuid-Holland,10820
2020-06-15,Gelderland,6463
2020-06-15,Zeeland,728
2020-06-16,Noord-Holland,7098
2020-06-16,Noord-Brabant,9615
2020-06-16,Utrecht,3917
2020-06-16,Zuid-Holland,10867
2020-06-16,Limburg,4852
2020-06-16,Zeeland,728
2020-06-16,Friesland,630
2020-06-16,Flevoland,967
2020-06-16,Groningen,357
2020-06-16,Gelderland,6467
2020-06-16,Drenthe,531
2020-06-16,Overijssel,3058
2020-06-17,Overijssel,3059
2020-06-17,Friesland,632
2020-06-17,Drenthe,533
2020-06-17,Gelderland,6476
2020-06-17,Flevoland,969
2020-06-17,Groningen,358
2020-06-17,Noord-Holland,7119
2020-06-17,Noord-Brabant,9637
2020-06-17,Zuid-Holland,10907
2020-06-17,Zeeland,728
2020-06-17,Utrecht,3929
2020-06-17,Limburg,4857
2020-06-18,Flevoland,972
2020-06-18,Noord-Brabant,9651
2020-06-18,Limburg,4863
2020-06-18,Drenthe,534
2020-06-18,Groningen,360
2020-06-18,Friesland,632
2020-06-18,Gelderland,6490
2020-06-18,Zeeland,730
2020-06-18,Overijssel,3062
2020-06-18,Noord-Holland,7143
2020-06-18,Zuid-Holland,10954
2020-06-18,Utrecht,3928
2020-06-19,Gelderland,6507
2020-06-19,Zuid-Holland,10993
2020-06-19,Utrecht,3936
2020-06-19,Overijssel,3066
2020-06-19,Zeeland,730
2020-06-19,Noord-Holland,7155
2020-06-19,Limburg,4866
2020-06-19,Groningen,360
2020-06-19,Drenthe,534
2020-06-19,Noord-Brabant,9671
2020-06-19,Flevoland,975
2020-06-19,Friesland,633
2020-06-20,Noord-Brabant,9675
2020-06-20,Gelderland,6517
2020-06-20,Drenthe,535
2020-06-20,Groningen,360
2020-06-20,Limburg,4869
2020-06-20,Flevoland,975
2020-06-20,Zeeland,731
2020-06-20,Overijssel,3070
2020-06-20,Utrecht,3946
2020-06-20,Zuid-Holland,11027
2020-06-20,Friesland,632
2020-06-20,Noord-Holland,7165
2020-06-21,Gelderland,6530
2020-06-21,Noord-Brabant,9691
2020-06-21,Zuid-Holland,11052
2020-06-21,Utrecht,3960
2020-06-21,Overijssel,3083
2020-06-21,Noord-Holland,7170
2020-06-21,Groningen,360
2020-06-21,Friesland,632
2020-06-21,Drenthe,535
2020-06-21,Limburg,4874
2020-06-21,Flevoland,975
2020-06-21,Zeeland,731
2020-06-22,Zeeland,732
2020-06-22,Flevoland,975
2020-06-22,Limburg,4876
2020-06-22,Drenthe,535
2020-06-22,Friesland,632
2020-06-22,Groningen,360
2020-06-22,Noord-Holland,7177
2020-06-22,Overijssel,3087
2020-06-22,Utrecht,3967
2020-06-22,Zuid-Holland,11077
2020-06-22,Noord-Brabant,9699
2020-06-22,Gelderland,6541
2020-06-23,Noord-Brabant,9709
2020-06-23,Gelderland,6546
2020-06-23,Zuid-Holland,11102
2020-06-23,Utrecht,3977
2020-06-23,Zeeland,733
2020-06-23,Noord-Holland,7189
2020-06-23,Groningen,360
2020-06-23,Friesland,632
2020-06-23,Drenthe,535
2020-06-23,Limburg,4878
2020-06-23,Flevoland,973
2020-06-23,Overijssel,3088
2020-06-24,Flevoland,977
2020-06-24,Zuid-Holland,11127
2020-06-24,Noord-Brabant,9726
2020-06-24,Groningen,363
2020-06-24,Friesland,633
2020-06-24,Drenthe,535
2020-06-24,Utrecht,3982
2020-06-24,Zeeland,734
2020-06-24,Overijssel,3091
2020-06-24,Limburg,4881
2020-06-24,Gelderland,6549
2020-06-24,Noord-Holland,7206
2020-06-25,Gelderland,6564
2020-06-25,Limburg,4885
2020-06-25,Utrecht,3999
2020-06-25,Overijssel,3093
2020-06-25,Zeeland,735
2020-06-25,Zuid-Holland,11169
2020-06-25,Friesland,635
2020-06-25,Flevoland,978
2020-06-25,Groningen,363
2020-06-25,Noord-Brabant,9742
2020-06-25,Drenthe,535
2020-06-25,Noord-Holland,7216
2020-06-26,Noord-Holland,7234
2020-06-26,Drenthe,535
2020-06-26,Noord-Brabant,9753
2020-06-26,Groningen,363
2020-06-26,Flevoland,978
2020-06-26,Friesland,635
2020-06-26,Zuid-Holland,11207
2020-06-26,Zeeland,736
2020-06-26,Overijssel,3098
2020-06-26,Utrecht,4007
2020-06-26,Limburg,4886
2020-06-26,Gelderland,6573
2020-06-27,Limburg,4886
2020-06-27,Utrecht,4013
2020-06-27,Overijssel,3099
2020-06-27,Zeeland,736
2020-06-27,Zuid-Holland,11229
2020-06-27,Gelderland,6589
2020-06-27,Friesland,636
2020-06-27,Flevoland,980
2020-06-27,Groningen,363
2020-06-27,Noord-Brabant,9761
2020-06-27,Drenthe,535
2020-06-27,Noord-Holland,7247
2020-06-28,Drenthe,535
2020-06-28,Noord-Brabant,9763
2020-06-28,Groningen,363
2020-06-28,Friesland,636
2020-06-28,Flevoland,982
2020-06-28,Limburg,4887
2020-06-28,Noord-Holland,7258
2020-06-28,Gelderland,6595
2020-06-28,Zuid-Holland,11266
2020-06-28,Zeeland,736
2020-06-28,Overijssel,3105
2020-06-28,Utrecht,4021
2020-06-29,Overijssel,3109
2020-06-29,Zeeland,736
2020-06-29,Zuid-Holland,11300
2020-06-29,Noord-Holland,7267
2020-06-29,Gelderland,6604
2020-06-29,Utrecht,4030
2020-06-29,Limburg,4888
2020-06-29,Groningen,363
2020-06-29,Noord-Brabant,9773
2020-06-29,Flevoland,982
2020-06-29,Friesland,636
2020-06-29,Drenthe,535
2020-06-30,Friesland,633
2020-06-30,Flevoland,985
2020-06-30,Noord-Brabant,9778
2020-06-30,Groningen,363
2020-06-30,Limburg,4888
2020-06-30,Drenthe,535
2020-06-30,Utrecht,4035
2020-06-30,Gelderland,6605
2020-06-30,Noord-Holland,7276
2020-06-30,Zuid-Holland,11327
2020-06-30,Zeeland,736
2020-06-30,Overijssel,3112
2020-07-07,Zeeland,743
2020-07-07,Zuid-Holland,11494
2020-07-07,Noord-Holland,7361
2020-07-07,Utrecht,4075
2020-07-07,Gelderland,6627
2020-07-07,Overijssel,3129
2020-07-07,Drenthe,533
2020-07-07,Friesland,637
2020-07-07,Groningen,365
2020-07-07,Noord-Brabant,9838
2020-07-07,Flevoland,989
2020-07-07,Limburg,4903
2020-07-14,Groningen,368
2020-07-14,Friesland,641
2020-07-14,Drenthe,534
2020-07-14,Overijssel,3139
2020-07-14,Flevoland,983
2020-07-14,Gelderland,6657
2020-07-14,Utrecht,4117
2020-07-14,Noord-Holland,7439
2020-07-14,Zuid-Holland,11716
2020-07-14,Zeeland,755
2020-07-14,Noord-Brabant,9895
2020-07-14,Limburg,4902
