"Category";"Aantal"
"'s-Gravenhage";7
"'s-Hertogenbosch";8
"Aalsmeer";2
"Albrandswaard";1
"Alkmaar";1
"Almelo";1
"Almere";1
"Alphen aan den Rijn";3
"Altena";5
"Amersfoort";4
"Amstelveen";2
"Amsterdam";11
"Apeldoorn";2
"Arnhem";4
"Barendrecht";1
"BeekDaelen";8
"Berg en Dal";3
"Bergeijk";1
"Bergen op Zoom";1
"Bernheze";4
"Best";3
"Beuningen";3
"Beverwijk";5
"Blaricum";1
"Bloemendaal";1
"Bodegraven-Reeuwijk";1
"Boekel";8
"Borne";2
"Borsele";1
"Boxtel";1
"Breda";42
"Bronckhorst";2
"Buren";1
"Coevorden";11
"Cranendonck";1
"Cuijk";1
"Culemborg";1
"De Bilt";11
"De Fryske Marren";1
"Delft";1
"Den Helder";1
"Deurne";3
"Diemen";2
"Dinkelland";1
"Dongen";4
"Drimmelen";3
"Eersel";1
"Eindhoven";8
"Emmen";1
"Enschede";3
"Ermelo";3
"Etten-Leur";5
"Geertruidenberg";1
"Geldrop-Mierlo";1
"Gemert-Bakel";7
"Goes";2
"Goirle";6
"Gooise Meren";3
"Gouda";2
"Groningen";2
"Haaren";6
"Haarlem";1
"Harderwijk";2
"Hardinxveld-Giessendam";5
"Heemstede";2
"Heerlen";2
"Heeze-Leende";1
"Hellendoorn";2
"Hellevoetsluis";1
"Helmond";14
"Heusden";2
"Hilvarenbeek";3
"Hoeksche Waard";1
"Hoogeveen";1
"Houten";13
"Huizen";1
"IJsselstein";1
"Katwijk";1
"Krimpen aan den IJssel";1
"Krimpenerwaard";3
"Landerd";2
"Landgraaf";1
"Landsmeer";2
"Langedijk";1
"Lansingerland";4
"Leeuwarden";1
"Leiden";1
"Leidschendam-Voorburg";2
"Lelystad";1
"Leudal";4
"Lingewaard";2
"Loon op Zand";6
"Maastricht";8
"Meierijstad";18
"Neder-Betuwe";1
"Nieuwkoop";1
"Nijmegen";6
"Nissewaard";1
"Noordwijk";2
"Nuenen, Gerwen en Nederwetten";1
"Oegstgeest";2
"Oisterwijk";5
"Oosterhout";1
"Opsterland";2
"Oss";3
"Peel en Maas";4
"Pekela";1
"Pijnacker-Nootdorp";5
"Purmerend";1
"Raalte";1
"Reimerswaal";1
"Renkum";7
"Rheden";1
"Ridderkerk";1
"Roermond";1
"Roosendaal";1
"Rotterdam";15
"Schagen";1
"Schouwen-Duiveland";2
"Simpelveld";2
"Sint-Michielsgestel";5
"Sittard-Geleen";20
"Smallingerland";1
"Soest";8
"Son en Breugel";1
"Stein";1
"Stichtse Vecht";5
"Súdwest Fryslân";1
"Tiel";2
"Tilburg";50
"Tubbergen";1
"Uden";21
"Utrecht";25
"Utrechtse Heuvelrug";2
"Veenendaal";1
"Veere";1
"Veldhoven";1
"Velsen";1
"Venlo";2
"Vijfheerenlanden";1
"Vlaardingen";1
"Vlissingen";2
"Voorst";1
"Vught";2
"Waalre";1
"Waalwijk";6
"Waddinxveen";1
"Waterland";1
"West Betuwe";2
"West Maas en Waal";2
"Westvoorne";1
"Wijchen";2
"Wijk bij Duurstede";2
"Woerden";2
"Woudenberg";1
"Zaanstad";2
"Zaltbommel";1
"Zeewolde";1
"Zeist";4
"Zundert";2
"Zwolle";2