"Datum van overlijden";"nieuw";"t/m afgelopen week"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;64
"22 mrt";0;61
"23 mrt";0;86
"24 mrt";0;76
"25 mrt";0;114
"26 mrt";0;124
"27 mrt";0;114
"28 mrt";0;153
"29 mrt";0;123
"30 mrt";0;153
"31 mrt";0;175
"1 apr";0;161
"2 apr";0;176
"3 apr";0;171
"4 apr";0;171
"5 apr";0;163
"6 apr";0;167
"7 apr";0;151
"8 apr";0;150
"9 apr";0;117
"10 apr";0;157
"11 apr";0;141
"12 apr";0;143
"13 apr";0;129
"14 apr";0;130
"15 apr";0;123
"16 apr";0;137
"17 apr";0;129
"18 apr";0;118
"19 apr";0;113
"20 apr";0;95
"21 apr";0;128
"22 apr";0;117
"23 apr";0;104
"24 apr";0;92
"25 apr";0;81
"26 apr";0;78
"27 apr";0;75
"28 apr";0;70
"29 apr";0;58
"30 apr";0;66
"1 mei";0;53
"2 mei";0;55
"3 mei";0;45
"4 mei";0;57
"5 mei";0;35
"6 mei";0;53
"7 mei";0;44
"8 mei";0;40
"9 mei";0;39
"10 mei";0;25
"11 mei";0;33
"12 mei";0;34
"13 mei";0;26
"14 mei";0;22
"15 mei";0;23
"16 mei";0;19
"17 mei";0;16
"18 mei";0;15
"19 mei";0;20
"20 mei";0;22
"21 mei";0;11
"22 mei";0;20
"23 mei";0;18
"24 mei";0;13
"25 mei";0;15
"26 mei";0;19
"27 mei";0;16
"28 mei";0;5
"29 mei";0;11
"30 mei";0;11
"31 mei";0;14
"1 jun";0;7
"2 jun";0;8
"3 jun";0;6
"4 jun";0;8
"5 jun";0;10
"6 jun";0;7
"7 jun";0;9
"8 jun";0;5
"9 jun";0;5
"10 jun";0;7
"11 jun";0;5
"12 jun";0;5
"13 jun";0;1
"14 jun";0;4
"15 jun";0;5
"16 jun";0;3
"17 jun";0;4
"18 jun";0;5
"19 jun";0;2
"20 jun";0;1
"21 jun";0;4
"22 jun";0;1
"23 jun";0;1
"24 jun";0;2
"25 jun";0;0
"26 jun";0;2
"27 jun";0;3
"28 jun";0;2
"29 jun";0;1
"30 jun";0;2
"1 jul";0;3
"2 jul";0;0
"3 jul";0;3
"4 jul";0;0
"5 jul";0;3
"6 jul";0;0
"7 jul";0;3
"8 jul";0;0
"9 jul";0;0
"10 jul";0;1
"11 jul";0;0
"12 jul";0;2
"13 jul";0;0
"14 jul";0;2
"15 jul";0;3
"16 jul";0;0
"17 jul";0;1
"18 jul";0;0
"19 jul";0;1
"20 jul";0;2
"21 jul";0;0
"22 jul";0;3
"23 jul";0;1
"24 jul";0;0
"25 jul";0;0
"26 jul";0;1
"27 jul";0;4
"28 jul";0;2
"29 jul";0;1
"30 jul";0;1
"31 jul";0;1
"1 aug";0;0
"2 aug";0;0
"3 aug";0;0
"4 aug";0;0
"5 aug";0;2
"6 aug";0;0
"7 aug";0;0
"8 aug";0;1
"9 aug";0;2
"10 aug";0;5
"11 aug";0;3
"12 aug";0;3
"13 aug";0;4
"14 aug";0;4
"15 aug";0;5
"16 aug";0;2
"17 aug";0;5
"18 aug";0;3
"19 aug";0;2
"20 aug";0;7
"21 aug";0;4
"22 aug";0;2
"23 aug";0;4
"24 aug";0;2
"25 aug";0;2
"26 aug";0;5
"27 aug";0;0
"28 aug";0;5
"29 aug";0;1
"30 aug";1;4
"31 aug";0;3
"1 sep";1;2
"2 sep";0;1
"3 sep";0;1
"4 sep";1;1
"5 sep";1;1
"6 sep";2;0
"7 sep";0;0
"8 sep";1;0
"9 sep";1;0
"10 sep";1;0
"11 sep";3;0
"12 sep";2;0
"13 sep";0;0
"14 sep";0;0
"15 sep";0;0